"id";"mark";"year";"period_of_production";"model";"version";"energy";"url_photo";"category";"color";"color_name";"maker";"material_number";"date_of_purchase";"price";"currency";"dealer";"scale";"comment"
182;"Renault";2005;"2002-2009";"Vel Satis I.2";"1.2";"Thermique";"renault_velsatis_I.2.jpg";"E";"Brown";"Marron Glac̩";"Norev";"77 11 237 306";"2005-10-26";23.0;"EUR";"Garage Renault Ambroise Par̩";"43";""
183;"VW";2004;"2004-2008";"Golf V GTI";"5";"Thermique";"vw_golf_v_gti.jpg";"C";"White";"blanc";"Norev";"840060";"2005-11-05";33.0;"EUR";"Jet Miniature Lyon centre";"43";""
184;"Peugeot";2003;"2003";"407 Elixir";"0";"Thermique";"peugeot_407_elixir.jpg";"ConceptCar";"Grey";"gris m̩tallis̩";"Norev";"474730";"2005-11-05";40.0;"EUR";"Jet Miniature Lyon centre";"43";""
185;"Renault";2004;"2004";"Fluence";"0";"Thermique";"renault_fluence.jpg";"ConceptCar";"Grey";"gris m̩tallis̩";"Norev";"77 11 237 465";"2005-11-08";46.0;"EUR";"Renault Lyon Sud";"43";""
186;"Nissan";2011;"2011";"Leaf Nismo";"1";"Electrique";"nissan_leaf_nismo_rc_2011_white_blue.jpg";"C";"White";"White and blue";"J-Collection";"JC240";"2015-06-06";16.0;"EUR";"Amazon FR";"43";""
187;"BMW";2014;"2013-2017";"i3";"1";"Electrique";"bmw_i3_solar_orange.jpg";"B";"Orange";"Solar Orange";"BMW Shop";"80 42 2 320 105";"2018-04-15";17.0;"EUR";"BMW Shop";"43";""
188;"BMW";2014;"2013-2017";"i3";"1";"Electrique";"bmw_i3_ionic_silver.jpg";"B";"Silver";"Silver";"BMW Shop";"80 42 2 320 102";"2018-04-15";17.0;"EUR";"BMW Shop";"43";""
189;"BMW";2014;"2013-2017";"i3";"1";"Electrique";"bmw_i3_andersit_silver.jpg";"B";"Silver";"Andersit Silver";"BMW Shop";"80 42 2 320 106";"2018-04-15";17.0;"EUR";"BMW Shop";"43";""
190;"Nissan";2018;"2017-";"Leaf II";"2";"Electrique";"nissan_leaf_2018_white.jpg";"C";"White";"blanche";"IXO";"MOC073";"2018-09-09";27.0;"EUR";"Online Model Shop";"43";""
191;"Mitsubishi";2012;"2009-";"I-MIEV";"1";"Electrique";"mistsubishi_i-miev_2012_moo_moo_edition.jpg";"A";"White";"blanche et noire (vache)";"IXO";"JC288.13";"2018-09-09";24.0;"EUR";"Online Model Shop";"43";""
192;"Alpine";2017;"2017-";"A110 Prem̬re Edition";"2";"Thermique";"alpine_a110_2017_blue.jpg";"Sportives";"Blue";"bleue";"Norev";"517856";"2018-09-09";35.0;"EUR";"Norev SA";"43";""
193;"Dacia";2018;"2017-";"Duster";"2";"Thermique";"dacia_duster_2018_vison_brown.jpg";"SUV S";"Brown";"vison brown";"Norev";"509001";"2018-09-09";20.0;"EUR";"Norev SA";"43";""
194;"Renault";2013;"2012-2019";"Clio IV";"4";"Thermique";"renault_clio_rs_2013_rouge_flamme.jpg";"B";"Red";"flamme red";"Norev";"517594";"2018-09-09";35.0;"EUR";"Norev SA";"43";""
195;"Renault";2016;"2015-";"Talisman Estate";"1";"Thermique";"renault_talisman_estate_2016_dune_beige.jpg";"E";"Beige";"dune beige";"Norev";"";"2018-09-09";35.0;"EUR";"Norev SA";"43";""
196;"Nissan";2010;"2010-2017";"Leaf I";"1";"Electrique";"nissan_leaf_2007_blue.jpg";"C";"Blue";"bleu";"IXO";"JC215";"2018-09-09";27.0;"EUR";"Miniatures Minichamps ";"43";""
197;"Honda";2007;"2007-2014";"Jazz / Fit";"2";"Thermique";"honda_fit_2007_back.jpg";"B+";"Black";"noire";"Ebbro";"43998";"2018-09-09";69.0;"EUR";"Tacot";"43";""
198;"Renault";2012;"2012-";"Zo̩";"1";"Electrique";"renault_zoe_white.jpg";"B";"White";"pearl white";"Eligor";"7711780921";"2018-09-09";22.0;"EUR";"Tacot";"43";""
199;"Honda";2014;"2014-2020";"Jazz / Fit";"3";"Thermique";"honda_fit_rs_2014_metallic_blue.jpg";"B+";"Blue";"blue metal";"FIRST:43";"F43043";"2018-09-09";37.0;"EUR";"Tacot";"43";""
200;"Renault";2014;"2014-";"Twingo III";"3";"Thermique";"renault_twingo_2014_cappucino_brown.jpg";"A";"Brown";"marron";"Norev";"517415";"2018-09-09";20.0;"EUR";"Amazon FR";"43";""
201;"Peugeot";2017;"2007-";"308 SW GT";"1";"Thermique";"peugeot_308_sw_gt_2017_ultimate_red.jpg";"C";"Red";"rouge m̩tal";"Norev";"473817";"2018-09-09";29.0;"EUR";"Amazon FR";"43";""
202;"Peugeot";2014;"2007-";"308 SW GT";"1";"Thermique";"peugeot_308_sw_gt_2014_bleu_magnetic.jpg";"C";"Blue";"bleu magn̩tic";"Norev";"473838";"2018-09-09";19.0;"EUR";"Amazon FR";"43";""
203;"Peugeot";2018;"2018-";"508";"2";"Thermique";"peugeot_508_2018_dark_blue.jpg";"E";"Blue";"dark blue";"Norev";"475821";"2018-09-30";35.0;"EUR";"Norev SA";"43";""
204;"Peugeot";1967;"1965-1976";"204 Cabriolet";"1";"Thermique";"peugeot_204_cabriolet_1967_beige_metallic.jpg";"A";"Beige";"beige m̩talique";"Norev";"472443";"2018-09-30";35.0;"EUR";"Norev SA";"43";""
205;"Peugeot";1967;"1965-1976";"204 Coup̩";"1";"Thermique";"peugeot_204_coupe_1967_marron.jpg";"A";"Brown";"marron";"Norev";"472403";"2018-09-30";35.0;"EUR";"Norev SA";"43";""
206;"Peugeot";2018;"2018-";"508 GT";"2";"Thermique";"peugeot_508_gt_2018_ultimate_red.jpg";"E";"Red";"Utimate Red";"Norev";"475820";"2018-09-30";35.0;"EUR";"Norev SA";"43";""
207;"Peugeot";2016;"2017-";"5008 GT";"1";"Thermique";"peugeot_5008_gt_2016_pearl_white.jpg";"SUV M";"White";"pearl white";"Norev";"473887";"2018-09-30";35.0;"EUR";"Norev SA";"43";""
208;"Renault";2015;"2015-";"Espace V Initiale Paris";"5";"Thermique";"renault_espace_2015_cassiopee_grey.jpg";"Monospaces";"Grey";"Cassiop̩e Grey";"Norev";"517944";"2018-11-27";24.0;"EUR";"Norev SA";"43";""
209;"Peugeot";1974;"1969-1980";"304 Coup̩ S";"1";"Thermique";"peugeot_304_coupe_s_1974_alaska_white.jpg";"C";"White";"Alaska White";"Norev";"473413";"2018-11-27";24.0;"EUR";"Norev SA";"43";""
210;"Renault";1976;"1971-1979";"R15 TL";"1";"Thermique";"renault_15_tl_1976_red.jpg";"C";"Red";"Red";"Norev";"511504";"2018-11-27";24.0;"EUR";"Norev SA";"43";""
211;"Peugeot";1969;"1969-1983";"504 Coup̩";"1";"Thermique";"peugeot_504_coupe_1969_brown_metallic.jpg";"D";"Brown";"Brown Metallic";"Norev";"475433";"2018-11-27";24.0;"EUR";"Norev SA";"43";""
212;"Peugeot";1970;"1969-1983";"504 Cabriolet";"1";"Thermique";"peugeot_504_cabriolet_1970_capucine_yellow.jpg";"D";"Yellow";"Capucine Yellow";"Norev";"475432";"2018-11-27";24.0;"EUR";"Norev SA";"43";""
213;"Renault";1972;"1972-1984";"R5 TL";"1";"Thermique";"renault_5_tl_1972_bleu_ciel.jpg";"A";"Blue";"Bleu Ciel";"Solido";"4301900";"2018-11-27";18.0;"EUR";"Amazon FR";"43";""
214;"Renault";1990;"1986-1994";"R21 Baccara";"1";"Thermique";"renault_r21_baccara_1990_bordeaux.jpg";"D";"Burngundy";"Bordeaux";"Odeon";"ODEON022";"2018-11-29";35.0;"EUR";"Tacot";"43";""
215;"Peugeot";1988;"1989-1999";"605";"1";"Thermique";"peugeot_605_1988_white.jpg";"E";"White";"White";"Norev";"476503";"2018-11-29";31.0;"EUR";"Tacot";"43";""
216;"Peugeot";1986;"1983-1998";"205 GTI 1,6";"1";"Thermique";"peugeot_205_gti_1600_1986_red.jpg";"B";"Red";"Red";"Norev";"471713";"2018-11-29";8.0;"EUR";"Tacot";"43";""
217;"Peugeot";1990;"1983-1998";"205 GTI 1,6";"1";"Thermique";"peugeot_205_gti_1600_1990_white.jpg";"B";"White";"White";"Norev";"?";"2018-11-29";8.0;"EUR";"Tacot";"43";""
218;"VW";1990;"1983-1992";"Golf II GTI G60";"2";"Thermique";"vw_golf_gti_g60_1990_black.jpg";"C";"Black";"Black";"Norev";"?";"2018-11-29";8.0;"EUR";"Tacot";"43";""
219;"Peugeot";2012;"2012-";"208";"1";"Thermique";"peugeot_208_2012_virtual_blue.jpg";"B";"Blue";"Virtual Blue";"Norev";"472800";"2018-11-29";22.0;"EUR";"Tacot";"43";""
220;"BMW";2014;"2013-";"435i Convertible (F33)";"1";"Thermique";"bmw_4_convertible_f33_2014_estoril_blue.jpg";"D";"Blue";"Estoril Blue";"I-Scale";"80 42 2 336 865";"2018-11-29";35.0;"EUR";"Tacot";"43";""
221;"BMW";2014;"2013-";"435i Coup̩ (F32)";"1";"Thermique";"bmw_4_coupe_f32_2014_sapphire_black.jpg";"D";"Black";"Sapphire Black";"I-Scale";"80 42 2 318 856";"2018-11-29";40.0;"EUR";"Tacot";"43";""
222;"BMW";2014;"2013-";"435i Gran Coup̩ (F36)";"1";"Thermique";"bmw_4_gran_coupe_f36_2014_estoril_blue.jpg";"D";"Blue";"Estoril Blue";"Kyosho";"80 42 2 348 792";"2018-11-29";9.0;"EUR";"Amazon FR";"43";""
223;"Peugeot";2013;"2009-2015";"RCZ";"1";"Thermique";"peugeot_rcz_2013_bleu_tuanake.jpg";"GT";"Blue";"Bleu Tuanake";"Norev";"473877";"2018-11-29";21.0;"EUR";"Amazon FR";"43";""
224;"Peugeot";2019;"2019-";"208 GT Line";"2";"Thermique";"peugeot_208_2019_red.jpg";"B";"Red";"Red";"Norev";"472832";"2019-10-25";35.0;"EUR";"Norev SA";"43";""
225;"Peugeot";2019;"2019-";"e-208 GT";"2";"Electrique";"peugeot_e208_2019_blue.jpg";"B";"Blue";"Blue";"Norev";"472831";"2019-10-25";35.0;"EUR";"Norev SA";"43";""
226;"Renault";2019;"2019-";"Clio V";"5";"Thermique";"renault_clio_2019_flamme_red.jpg";"B";"Red";"flamme red";"Norev";"517587";"2019-10-25";22.0;"EUR";"Norev SA";"43";"Voiture livr̩e cass̩e (axe arri̬re) et retourn̩e chez Norev. Doit ̻tre rachet̩e (novembre 2019)"
227;"Renault";2016;"2016-";"Scenic IV";"4";"Thermique";"renault_scenic_2016_cassiopee_grey.jpg";"M1+";"Grey";"Cassiop̩e Grey";"Norev";"517587";"2019-10-25";22.0;"EUR";"Norev SA";"43";""
228;"VW";1961;"1947-1967";"T1 Double Cabin";"1";"Thermique";"vw_t1_double_cabin_1961_red_black.jpg";"Pick-up M";"Red";"Red & Black";"Norev";"840218";"2019-10-25";39.0;"EUR";"Norev SA";"43";""
